infinitive,meaning,mood,tense,yo,tú,él/ella/usted,nosotros/nosotras,vosotros/vosotras,ellos/ellas/ustedes
jugar,遊ぶ・競技する,命令法,肯定,-,juega,juegue,juguemos,jugad,jueguen
jugar,遊ぶ・競技する,接続法,現在,juegue,juegues,juegue,juguemos,juguéis,jueguen
jugar,遊ぶ・競技する,接続法,過去 (ra),jugara,jugaras,jugara,jugáramos,jugarais,jugaran
jugar,遊ぶ・競技する,分詞,過去,-,jugado,-,-,-,-
jugar,遊ぶ・競技する,分詞,現在 (Gerundio),-,jugando,-,-,-,-
escribir,書く,直説法,未来,escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán
escribir,書く,直説法,過去未来 (条件法),escribiría,escribirías,escribiría,escribiríamos,escribiríais,escribirían
escribir,書く,直説法,現在完了,he escrito,has escrito,ha escrito,hemos escrito,habéis escrito,han escrito
escribir,書く,直説法,過去完了,había escrito,habías escrito,había escrito,habíamos escrito,habíais escrito,habían escrito
escribir,書く,命令法,肯定,-,escribe,escriba,escribamos,escribid,escriban
escribir,書く,接続法,現在,escriba,escribas,escriba,escribamos,escribáis,escriban
escribir,書く,接続法,過去 (ra),escribiera,escribieras,escribiera,escribiéramos,escribierais,escribieran
escribir,書く,分詞,過去,-,escrito,-,-,-,-
escribir,書く,分詞,現在 (Gerundio),-,escribiendo,-,-,-,-
leer,読む,直説法,未来,leeré,leerás,leerá,leeremos,leeréis,leerán
leer,読む,直説法,過去未来 (条件法),leería,leerías,leería,leeríamos,leeríais,leerían
leer,読む,直説法,現在完了,he leído,has leído,ha leído,hemos leído,habéis leído,han leído
leer,読む,直説法,過去完了,había leído,habías leído,había leído,habíamos leído,habíais leído,habían leído
leer,読む,命令法,肯定,-,lee,lea,leamos,leed,lean
leer,読む,接続法,現在,lea,leas,lea,leamos,leáis,lean
leer,読む,接続法,過去 (ra),leyera,leyeras,leyera,leyéramos,leyerais,leyeran
leer,読む,分詞,過去,-,leído,-,-,-,-
leer,読む,分詞,現在 (Gerundio),-,leyendo,-,-,-,-
gustar,気に入る (～が好き),直説法,未来,me gustará,te gustará,le gustará,nos gustará,os gustará,les gustará
gustar,気に入る (～が好き),直説法,過去未来 (条件法),me gustaría,te gustaría,le gustaría,nos gustaría,os gustaría,les gustaría
gustar,気に入る (～が好き),直説法,現在完了,me ha gustado,te ha gustado,le ha gustado,nos ha gustado,os ha gustado,les ha gustado
gustar,気に入る (～が好き),直説法,過去完了,me había gustado,te había gustado,le había gustado,nos había gustado,os había gustado,les había gustado
gustar,気に入る (～が好き),接続法,現在,me guste,te guste,le guste,nos guste,os guste,les guste
gustar,気に入る (～が好き),接続法,過去 (ra),me gustara,te gustara,le gustara,nos gustara,os gustara,les gustara
levantarse,起きる (再帰),直説法,未来,me levantaré,te levantarás,se levantará,nos levantaremos,os levantaréis,se levantarán
levantarse,起きる (再帰),直説法,過去未来 (条件法),me levantaría,te levantarías,se levantaría,nos levantaríamos,os levantaríais,se levantarían
levantarse,起きる (再帰),直説法,現在完了,me he levantado,te has levantado,se ha levantado,nos hemos levantado,os habéis levantado,se han levantado
levantarse,起きる (再帰),直説法,過去完了,me había levantado,te habías levantado,se había levantado,nos habíamos levantado,os habíais levantado,se habían levantado
levantarse,起きる (再帰),接続法,現在,me levante,te levantes,se levante,nos levantemos,os levantéis,se levanten
levantarse,起きる (再帰),接続法,過去 (ra),me levantara,te levantaras,se levantara,nos levantáramos,os levantarais,se levantaran
levantarse,起きる (再帰),分詞,過去,-,levantado,-,-,-,-
levantarse,起きる (再帰),分詞,現在 (Gerundio),-,levantándose,-,-,-,-
llegar,到着する,直説法,線過去,llegaba,llegabas,llegaba,llegábamos,llegabais,llegaban
gustar,気に入る (～が好き),命令法,肯定,-,gusta,guste,gustemos,gustad,gusten
gustar,気に入る (～が好き),分詞,過去,-,gustado,-,-,-,-
gustar,気に入る (～が好き),分詞,現在 (Gerundio),-,gustando,-,-,-,-
levantarse,起きる (再帰),直説法,線過去,me levantaba,te levantabas,se levantaba,nos levantábamos,os levantabais,se levantaban
levantarse,起きる (再帰),命令法,肯定,-,levántate,levántese,levantémonos,levantaos,levántense
estar,～である (状態),直説法,現在完了,he estado,has estado,ha estado,hemos estado,habéis estado,han estado
estar,～である (状態),直説法,過去完了,había estado,habías estado,había estado,habíamos estado,habíais estado,habían estado
estar,～である (状態),接続法,過去 (ra),estuviera,estuvieras,estuviera,estuviéramos,estuvierais,estuvieran
ir,行く,直説法,現在完了,he ido,has ido,ha ido,hemos ido,habéis ido,han ido
ir,行く,直説法,過去完了,había ido,habías ido,había ido,habíamos ido,habíais ido,habían ido
ir,行く,接続法,過去 (ra),fuera,fueras,fuera,fuéramos,fuerais,fueran
haber,ある・いる (助動詞),直説法,現在完了,he habido,has habido,ha habido,hemos habido,habéis habido,han habido
haber,ある・いる (助動詞),直説法,過去完了,había habido,habías habido,había habido,habíamos habido,habíais habido,habían habido
haber,ある・いる (助動詞),命令法,肯定,-,he,haya,hayamos,habed,hayan
